id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1997004,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.30,2.46,0.20,0,5.24
0001,Madden NFL 2004,PS2,0,PS2,PS2,0.00,0.00,0.00,0,0.00
2013008,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.90,0,5.23
20120010,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.30,1.34,1.27,0,5.22
2004008,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0,5.21
2003003,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0,5.20
20070010,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,1,5.19
1994001,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0,5.19
20120011,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,1,5.16
1995000,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.10,0.74,2.20,0,5.15
20120012,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.00,1,5.14
2003004,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,1,5.13
1992004,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.70,0,5.13
1996005,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.00,0,5.12
2006008,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.00,1,5.12
20100014,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0,5.10
20080011,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,1,5.09
20090015,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,1,5.09
20070011,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.80,0.95,0,5.08
1999008,Super Mario Bros.,GB,1999,Platform,Nintendo,3.40,1.30,0.15,0,5.07
20100015,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1,5.07
1996006,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,1,5.05
2006009,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.70,1.99,0.16,1,5.03
1999009,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0,5.02
19990010,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.00,0,5.01
1998006,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0,5.00
20070012,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1,4.98
20070013,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0,4.98
20070014,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0,4.93
20080012,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.40,0.99,0.09,0,4.93
20070015,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,1,4.92
2005007,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,1,4.91
1997005,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0,4.88
20100016,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.00,0.00,4.87,0,4.87
20140010,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.60,1.08,0.81,0,4.87
1990001,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.60,1.52,0,4.85
20100017,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.00,1,4.84
20070016,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.00,0.09,1,4.82
20100018,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,1,4.80
19990011,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0,4.79
20070017,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.00,0,4.76
2000002,Driver 2,PS,2000,Action,Atari,2.36,2.10,0.02,0,4.73
20110013,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0,4.73
20140011,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.88,2.00,0.07,1,4.71
2003005,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0.00,1,4.70
2000003,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0,4.68
2002005,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,1,4.67
1996007,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0,4.63
20080013,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0,4.62
2015005,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,1,4.62
1991000,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0,4.61
2002006,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.60,0.99,0.89,0,4.60
20070018,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.00,0,4.60
2013009,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.80,1.39,1.11,0,4.59
